Prompt,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Avg. Coverage,Success Rate
basic,1.00,8.50,8.50,1.00,8.50,1.00,1.00,8.50,8.50,8.50,5.50,0.00%
wall_following,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,0.00%
systematic,5.00,14.25,5.00,14.25,5.00,5.00,14.25,14.25,5.00,14.25,9.62,0.00%
english,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00%
spiral,5.50,14.25,5.50,21.00,14.25,21.00,14.25,5.50,14.50,21.25,13.70,0.00%
snake,47.50,47.50,47.50,47.50,47.50,33.25,47.50,47.50,47.50,47.50,46.08,0.00%
zigzag,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,0.00%
