Prompt,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Avg. Coverage,Success Rate
basic,2.50,4.50,4.50,4.75,2.75,5.50,2.50,5.50,1.00,1.00,3.45,0.00%
wall_following,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,0.00%
systematic,2.50,5.25,2.50,3.00,2.50,2.50,2.50,2.50,5.25,2.50,3.10,0.00%
english,10.00,10.25,21.50,5.50,10.00,10.00,10.00,10.00,10.00,5.50,10.28,0.00%
spiral,4.75,5.25,4.75,4.75,4.75,4.75,5.25,4.75,5.25,2.50,4.67,0.00%
snake,2.50,5.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.75,0.00%
zigzag,2.75,2.75,5.00,2.75,2.75,2.75,2.75,2.75,2.75,5.00,3.20,0.00%
