Prompt,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Avg. Coverage,Success Rate
basic,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,1.00,19.25,17.43,0.00%
wall_following,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,0.00%
systematic,7.00,5.00,5.00,7.00,7.00,5.00,5.00,5.00,5.50,5.50,5.70,0.00%
english,95.50,95.50,95.50,95.50,95.50,95.50,95.50,95.50,95.50,95.50,95.50,0.00%
spiral,14.25,14.25,21.25,14.25,14.25,14.25,14.25,14.25,21.25,14.25,15.65,0.00%
snake,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,47.50,0.00%
zigzag,47.75,47.75,47.75,47.75,47.75,47.75,47.75,47.75,47.75,47.75,47.75,0.00%
