Prompt,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Avg. Coverage,Success Rate
basic,4.75,17.25,17.25,17.25,17.25,17.25,5.00,17.25,5.00,5.50,12.38,0.00%
wall_following,14.50,5.25,5.25,5.25,21.25,5.25,5.25,21.25,21.25,5.00,10.95,0.00%
systematic,5.25,2.50,5.25,5.00,5.00,9.75,5.00,9.75,5.00,5.00,5.75,0.00%
english,10.75,10.75,15.00,43.00,7.25,10.75,10.75,15.00,6.50,10.75,14.05,0.00%
spiral,6.00,6.25,14.50,5.00,14.25,14.25,5.75,5.50,5.50,6.75,8.38,0.00%
snake,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,0.00%
zigzag,5.75,2.50,5.75,2.50,2.50,5.75,2.50,2.50,2.50,5.25,3.75,0.00%
