Prompt,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Avg. Coverage,Success Rate
basic,19.25,19.25,19.25,19.25,19.25,21.50,21.50,21.50,19.25,19.25,19.93,0.00%
wall_following,7.50,7.50,7.50,7.50,4.75,7.50,7.50,4.75,5.50,10.00,7.00,0.00%
systematic,14.75,14.25,5.25,21.00,14.75,14.50,14.50,14.25,21.25,,14.94,0.00%
english,100.00,21.75,24.25,95.50,100.00,95.50,100.00,14.75,95.50,100.00,74.72,30.00%
spiral,21.25,14.25,14.25,14.25,14.25,21.25,21.25,14.25,14.25,14.25,16.35,0.00%
snake,9.50,47.50,9.50,9.50,9.50,47.50,47.50,47.50,47.50,9.50,28.50,0.00%
zigzag,5.50,5.25,14.50,5.25,9.75,5.50,5.50,5.25,5.25,19.25,8.10,0.00%
