Prompt,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Avg. Coverage,Success Rate
basic,5.25,5.25,21.50,5.25,5.25,5.25,5.25,5.25,5.25,,7.06,0.00%
wall_following,4.75,4.75,5.25,4.75,4.75,4.75,4.75,4.75,4.75,,4.81,0.00%
systematic,5.00,5.00,2.75,4.75,7.50,5.00,5.00,5.00,5.00,,5.00,0.00%
english,100.00,24.25,100.00,100.00,100.00,100.00,57.25,14.75,100.00,,77.36,66.67%
spiral,21.25,5.50,21.25,23.75,4.75,2.75,21.25,6.50,5.50,,12.50,0.00%
snake,9.50,4.75,9.75,10.00,9.50,54.75,7.50,9.50,,,14.41,0.00%
zigzag,5.00,5.25,2.75,5.00,2.75,2.75,5.25,5.00,5.00,,4.31,0.00%
